combo,start,end,days,detected,first_warning,lead_days
lab_known_ABC_rf,2023-04-22,2023-04-23,2,False,,
lab_known_ABC_rf,2023-04-26,2023-04-26,1,True,2023-04-26,0.0
lab_known_ABC_rf,2023-04-28,2023-07-18,82,True,2023-04-28,0.0
lab_known_ABC_rf,2023-07-21,2023-07-21,1,True,2023-07-21,0.0
lab_known_ABC_rf,2023-07-24,2023-07-31,8,True,2023-07-24,0.0
lab_known_ABC_rf,2023-08-02,2023-08-13,12,False,,
lab_known_ABC_rf,2023-08-15,2023-08-23,9,True,2023-08-15,0.0
lab_known_ABC_rf,2023-08-25,2023-12-27,125,True,2023-08-25,0.0
lab_known_ABC_rf,2023-12-29,2023-12-29,1,False,,
lab_known_ABC_rf,2024-04-25,2024-05-10,16,True,2024-04-25,0.0
lab_known_ABC_rf,2024-05-16,2024-06-22,38,True,2024-05-16,0.0
lab_known_ABC_rf,2024-06-25,2024-06-26,2,False,,
lab_known_ABC_rf,2024-07-21,2024-10-04,76,False,,
lab_known_ABC_rf,2024-10-06,2024-10-07,2,True,2024-10-06,0.0
lab_known_ABC_rf,2024-10-22,2024-10-22,1,True,2024-10-22,0.0
lab_known_ABC_rf,2024-10-24,2024-10-28,5,True,2024-10-24,0.0
lab_known_ABC_rf,2025-05-18,2025-07-28,72,True,2025-05-18,0.0
lab_known_ABC_rf,2025-08-29,2025-08-30,2,True,2025-08-29,0.0
lab_known_ABC_rf,2025-09-02,2025-09-06,5,True,2025-09-02,0.0
lab_known_ABC_rf,2025-09-20,2025-09-20,1,False,,
lab_known_ABC_rf,2025-09-22,2025-10-02,11,False,,
lab_known_ABC_rf,2025-10-07,2025-10-07,1,True,2025-10-07,0.0
lab_known_ABC_rf,2025-10-18,2025-10-19,2,True,2025-10-18,0.0
lab_known_ABC_rf,2025-10-21,2025-10-23,3,True,2025-10-21,0.0
lab_known_ABC_rf,2025-10-30,2025-11-03,5,True,2025-10-30,0.0
lab_known_ABC_rf,2025-11-05,2025-11-07,3,True,2025-11-05,0.0
lab_known_ABC_rf,2025-11-09,2025-11-09,1,True,2025-11-09,0.0
lab_known_ABC_rf,2025-11-11,2025-11-12,2,True,2025-11-11,0.0
lab_known_ABC_rf,2025-11-14,2025-11-16,3,True,2025-11-14,0.0
lab_known_ABC_rf,2025-11-18,2025-11-18,1,True,2025-11-18,0.0
lab_known_ABC_rf,2026-05-29,2026-06-01,4,True,2026-05-29,0.0
lab_known_ABC_rf,2026-06-03,2026-06-05,3,True,2026-06-03,0.0
lab_known_ABC_rf,2026-06-29,2026-07-04,6,True,2026-06-29,0.0
lab_known_ABC_rf,2026-07-24,2026-08-01,9,True,2026-07-24,0.0
lab_known_ABC_rf,2026-08-03,2026-08-03,1,True,2026-08-03,0.0
lab_known_ABC_rf,2026-08-05,2026-08-06,2,True,2026-08-05,0.0
lab_known_ABC_rf,2026-08-10,2026-08-10,1,True,2026-08-10,0.0
lab_known_ABC_rf,2026-08-13,2026-08-19,7,True,2026-08-15,2.0
