target,lead,scenario,set,model,n,mae,mae_lo,mae_hi,rmse,mae_persistence,skill_vs_persistence,skill_lo,skill_hi,dm_stat,dm_p
toc,1,lab_known,ABCD,ridge,633,0.08776529153245924,0.06955177234514873,0.10927851734157719,0.1800128733217369,0.07266982622432858,-0.20772672913145018,-0.3639593026518871,-0.08235058325179846,4.00776660198853,6.860422404895026e-05
toc,1,lab_known,ABCD,rf,633,0.07941734789038159,0.05952223565405002,0.10424973997964773,0.18958294670523385,0.07266982622432858,-0.09285176553503383,-0.18844348251886728,-0.026978133767333868,2.5845292915090443,0.009974260282842023
toc,1,lab_known,ABCD,hgb,633,0.0817509061895033,0.06297214172032768,0.10479795138803312,0.19173228601789097,0.07266982622432858,-0.12496355691207839,-0.20105041395079631,-0.0681765342020744,5.714624414526688,1.6948115899613825e-08
toc,1,lab_blind,BCD,ridge,633,0.5055778400033676,0.3317682304165121,0.7300574889160732,0.8969803419277124,0.07266982622432858,-5.95719071135069,-8.00591523541906,-4.192956182556411,4.915941458938716,1.1274678212984549e-06
toc,1,lab_blind,BCD,rf,633,0.45906373081771457,0.3078703912693767,0.6852359580579531,0.8324302619126592,0.07266982622432858,-5.317116121904639,-7.489924250791689,-3.6413211350923276,4.621027724000859,4.630118262453813e-06
toc,1,lab_blind,BCD,hgb,633,0.5147372310443834,0.3639583118121605,0.7176547165675102,0.8626450051050637,0.07266982622432858,-6.08323189676293,-8.086719607585158,-4.470089831081482,5.453918926860906,7.076874361465922e-08
toc,2,lab_known,ABCD,ridge,631,0.13027425190161374,0.09979298562063825,0.16747630934863528,0.25122928270473877,0.10879556259904909,-0.19742247559968384,-0.43463755948555816,-0.03040736017227079,2.368003640359893,0.018185325035423323
toc,2,lab_known,ABCD,rf,631,0.12430769140063459,0.08282011590515762,0.1771229235491332,0.29489925447716153,0.10879556259904909,-0.14258052838747926,-0.40776660274935117,0.01698554955893764,1.2143480235993425,0.22506983736244265
toc,2,lab_known,ABCD,hgb,631,0.11468773147084768,0.08572481698649573,0.15191169583996214,0.2634248645433652,0.10879556259904909,-0.05415817273277379,-0.15965419940071413,0.019735860262257664,1.415899778785207,0.15729903561049438
toc,2,lab_blind,BCD,ridge,631,0.5031416381721074,0.33176391583814396,0.7294312352167813,0.8896928040619142,0.10879556259904909,-3.624652202281135,-5.051616379651339,-2.5008068960126204,4.757143072956345,2.436546164632516e-06
toc,2,lab_blind,BCD,rf,631,0.46759810578520156,0.3117349956341755,0.6905879816638574,0.8442122424131889,0.10879556259904909,-3.2979519992784017,-4.494228009288964,-2.3109239656022003,4.554498910004961,6.305583502934833e-06
toc,2,lab_blind,BCD,hgb,631,0.5038536605915398,0.3521496071214319,0.7117456601245511,0.8540896161295104,0.10879556259904909,-3.631196792909858,-4.891169217517623,-2.673216336745256,5.263157719212192,1.9443255289023146e-07
toc,3,lab_known,ABCD,ridge,629,0.18026857027017965,0.13493642739261066,0.2402985620181879,0.33349297444847054,0.13887122416534178,-0.2980988059524101,-0.6099998796439811,-0.08434893330007692,2.982599042050709,0.002968943014011702
