sonde_feature,target,lag_days,spearman_rho,n
sonde_temp_surf,TOC_mg_L,0,-0.49640087675158107,104
sonde_temp_surf,Alk_mg_L,0,-0.4484752737200459,104
sonde_cond_surf,TOC_mg_L,0,-0.4295333472734671,104
sonde_cond_surf,Alk_mg_L,0,-0.302139136690642,104
sonde_turb_surf,TOC_mg_L,0,-0.054989783375613804,104
sonde_turb_surf,Alk_mg_L,0,-0.0677972930651141,104
sonde_temp_bot,TOC_mg_L,0,-0.6199081614593996,104
sonde_temp_bot,Alk_mg_L,0,-0.5136653492051015,104
sonde_cond_bot,TOC_mg_L,0,-0.5424037467629399,104
sonde_cond_bot,Alk_mg_L,0,-0.27119839850610106,104
sonde_turb_bot,TOC_mg_L,0,-0.38356743575125657,104
sonde_turb_bot,Alk_mg_L,0,-0.194127234463345,104
sonde_temp_all,TOC_mg_L,0,-0.5772113503672562,104
sonde_temp_all,Alk_mg_L,0,-0.5041397856212096,104
sonde_cond_all,TOC_mg_L,0,-0.5042900842394081,104
sonde_cond_all,Alk_mg_L,0,-0.264511826421722,104
sonde_turb_all,TOC_mg_L,0,-0.3563301262879601,104
sonde_turb_all,Alk_mg_L,0,-0.38680191890825893,104
sonde_turb_max,TOC_mg_L,0,-0.28156254034568473,104
sonde_turb_max,Alk_mg_L,0,-0.21372804465838924,104
sonde_chl_surf,TOC_mg_L,0,-0.13874980268017623,104
sonde_chl_surf,Alk_mg_L,0,-0.40851702433201814,104
sonde_do_all,TOC_mg_L,0,0.51889092304484,104
sonde_do_all,Alk_mg_L,0,0.4117391506323639,104
sonde_ph_all,TOC_mg_L,0,-0.2329168265326945,104
sonde_ph_all,Alk_mg_L,0,0.12751981366985027,104
sonde_strat,TOC_mg_L,0,0.46379915526894866,104
sonde_strat,Alk_mg_L,0,0.04939418293137488,104
sonde_temp_surf,TOC_mg_L,1,-0.5018472636336944,103
sonde_temp_surf,Alk_mg_L,1,-0.4817289224018075,103
sonde_cond_surf,TOC_mg_L,1,-0.4479560624744919,103
sonde_cond_surf,Alk_mg_L,1,-0.336675186644615,103
sonde_turb_surf,TOC_mg_L,1,-0.03746233955018749,103
