target,config,model,n_train,n,mae,mae_lo,mae_hi,rmse,mae_persistence,skill_vs_persistence,skill_lo,skill_hi,dm_stat,dm_p
toc,ABCD_lab_known,ridge,58,40,0.11146184748298923,0.0876172369881055,0.16991289528833464,0.16148355875509088,0.07750000000000001,-0.4382173868772803,-1.1531945071848582,-0.3596844014537604,2.140045219987646,0.03866322830690455
toc,ABCD_lab_known,rf,58,40,0.07770291272889736,0.04275495951143607,0.1151879410562784,0.14739969980008785,0.07750000000000001,-0.002618228759965646,-0.006480401417691878,-0.0009080915165753268,3.3801973322667926,0.0016565902583785168
toc,ABCD_lab_known,hgb,58,40,0.09726651120663435,0.07409161331787513,0.13428139338023676,0.14419446300718658,0.07750000000000001,-0.2550517575049591,-0.7727842528972597,-0.10413594607753811,2.9064104942269777,0.005999658326561594
toc,ABCDE_lab_known,ridge,58,40,0.10930610547460091,0.08657163829435185,0.1669872686817909,0.1579926681187971,0.07750000000000001,-0.4104013609625923,-1.1285443000425568,-0.3415357767907401,1.9549930903037864,0.05777804814102624
toc,ABCDE_lab_known,rf,58,40,0.07770041035903355,0.04275277943662707,0.11518387020671444,0.147422868846258,0.07750000000000001,-0.002585940116561769,-0.0064075874244382105,-0.0009338779082867349,3.458226304884426,0.0013293697784408163
toc,ABCDE_lab_known,hgb,58,40,0.09698524442665526,0.07214335559958555,0.1323847587723939,0.14432371032519825,0.07750000000000001,-0.25142250873103555,-0.7183956013905914,-0.11028422590041824,3.162700082228723,0.003023938831194353
toc,BCDE_lab_blind,ridge,58,40,0.19101193137485603,0.1630676863935422,0.2595271398093876,0.22182260848806543,0.07750000000000001,-1.4646700822562062,-3.1844363163959466,-1.1699749831260968,3.7982541853011615,0.000498036258813766
toc,BCDE_lab_blind,rf,58,40,0.1874086036573522,0.16697295225803377,0.2526960794904111,0.20972809106724802,0.07750000000000001,-1.4181755310626087,-3.341026607430494,-1.0442853389448867,3.6301419544240785,0.0008128136444674934
toc,BCDE_lab_blind,hgb,58,40,0.18723511055684586,0.16714956121659294,0.2512801821007592,0.21026342136940823,0.07750000000000001,-1.415936910410914,-3.3633084571476086,-1.0017067119289453,3.535903745637243,0.0010656659821425773
alk,ABCD_lab_known,ridge,58,40,2.8079172992305597,2.2052410873741852,3.1317851841950097,3.4012066795181637,2.155,-0.3029778650721855,-0.5220021298818199,-0.1506614186252766,2.5041627837123834,0.016565724954322483
alk,ABCD_lab_known,rf,58,40,2.2138158061923603,1.6113062124662572,2.4990940350586617,2.562209788359237,2.155,-0.02729271749065454,-0.10079264149443998,0.026572366887627905,0.7855898675113965,0.43685471247991453
alk,ABCD_lab_known,hgb,58,40,2.2543626040634495,1.6891936753412946,2.5528214016623827,2.691441543598603,2.155,-0.04610793692039428,-0.16262704603403136,0.03993418530890361,0.808060549081944,0.42395738297357244
alk,ABCDE_lab_known,ridge,58,40,2.7124702931815605,2.1046548979809336,3.04870210924205,3.265324350708815,2.155,-0.2586869109891232,-0.45121091951867565,-0.12131716915333746,2.3737485680063846,0.02262911293557073
alk,ABCDE_lab_known,rf,58,40,2.2213871555634603,1.5784519732425633,2.5143116882202223,2.5668282008971675,2.155,-0.030806104669819367,-0.07648284319659318,0.022300163803423957,0.9661619974930855,0.33991648580199874
alk,ABCDE_lab_known,hgb,58,40,2.3244615241329605,1.7633515615496231,2.5643562745440422,2.785624738600221,2.155,-0.07863643811274268,-0.18664064261182942,0.016173491805292005,1.0917218637087618,0.2816540125949925
alk,BCDE_lab_blind,ridge,58,40,2.7620027729314147,2.2395212145958037,3.3111175993616224,3.3162765321894514,2.155,-0.2816718203858075,-0.9846216765249577,0.028899702744943224,1.2804111701805396,0.20796372900427934
alk,BCDE_lab_blind,rf,58,40,2.4506241246247455,1.8124552051763416,2.6124120445461005,2.9897571604491664,2.155,-0.13718056827134384,-0.2555279316387666,0.04335538522802018,0.9270809612973896,0.35958655483910157
alk,BCDE_lab_blind,hgb,58,40,3.8648551882080833,2.837065266125218,4.5959951150461995,4.558417879174709,2.155,-0.7934362822311294,-1.502580867260317,-0.2687813652382929,2.605476450021487,0.012922088457628569
